mssv,IT001,IT003,IT004,IT005,IT007,MA003,MA004,MA005,MA006,IT002
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,8.2,8.9,9.2,7.9,8.3,9.1,9.8,8.9,9.4,7.8
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,9.1,8.2,7.6,7.5,7.9,8.8,9.3,7.8,10.0,9.2
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,8.5,8.0,7.1,6.9,8.3,8.2,8.4,8.8,9.2,8.3
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,9.1,8.4,7.7,6.5,7.0,7.5,8.2,9.4,6.8,7.7
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,7.1,8.0,6.7,5.9,6.8,8.0,6.7,5.5,6.9,5.8
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,9.7,9.2,8.3,8.3,8.4,8.3,10.0,8.9,8.5,9.5
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,8.6,9.3,8.9,9.3,8.9,7.9,7.7,8.9,9.0,8.2
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,5.0,2.1,4.4,4.3,3.6,5.0,5.0,6.8,4.2,5.5
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,8.6,4.6,7.3,5.4,7.1,6.8,5.3,2.2,8.0,5.8
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,9.5,8.6,8.3,8.8,9.2,8.8,9.9,8.8,7.4,6.4
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,8.8,2.7,3.3,4.5,4.6,5.6,6.5,4.5,6.2,2.1
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,7.9,8.8,7.5,7.5,7.9,6.8,8.9,6.9,7.5,5.9
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,8.4,8.0,8.4,6.8,8.5,5.9,8.9,6.5,6.3,7.4
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,8.2,7.8,8.1,7.4,8.6,8.5,7.5,6.2,6.7,7.2
0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs,9.6,8.5,6.4,7.4,7.5,9.1,7.7,10.0,9.4,7.9
00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT,7.8,5.9,5.3,5.5,6.5,7.8,6.1,7.3,7.7,5.1
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,6.6,5.3,5.1,5.9,5.4,4.4,5.9,5.1,7.8,6.4
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,6.5,5.0,5.0,5.5,4.2,4.5,7.3,5.8,6.3,5.0
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,7.0,7.4,6.3,6.1,7.4,5.9,6.1,8.1,6.1,7.0
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,5.3,5.7,9.2,6.9,8.1,5.6,8.5,8.9,5.7,6.3
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,5.4,6.0,1.1,2.8,8.4,5.0,3.6,5.1,5.2,8.0
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,7.2,5.1,7.5,6.8,6.5,8.0,7.3,8.3,6.5,6.9
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,9.0,8.1,8.9,7.3,7.5,6.2,7.7,8.1,8.7,9.0
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,5.1,5.6,6.1,5.9,5.2,5.6,7.4,5.3,6.6,6.8
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,5.3,5.7,5.3,7.2,7.1,6.2,8.0,7.5,7.6,5.0
00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,8.6,8.2,7.3,8.9,7.1,8.9,8.9,8.6,8.6,7.8
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,8.0,5.3,6.1,6.8,5.9,5.9,9.3,6.7,8.3,6.0
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,6.7,7.3,7.0,6.6,6.9,7.1,5.9,6.3,6.2,6.4
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,5.1,8.1,6.3,7.9,5.2,8.4,5.3,0.8,7.7,8.7
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,8.0,8.1,6.6,6.5,6.1,7.9,5.1,7.8,5.2,7.5
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,5.0,5.8,6.6,8.1,8.1,8.5,7.2,6.9,6.4,5.7
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,9.3,8.7,9.9,9.1,9.2,9.4,9.6,8.9,10.0,9.6
01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,7.4,8.7,9.4,9.0,7.9,6.2,8.1,7.0,6.8,8.9
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,9.3,8.6,10.0,9.4,8.8,8.7,10.0,9.7,9.9,9.5
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,8.7,9.2,6.9,7.1,8.6,6.0,5.4,6.8,7.1,9.2
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,5.2,5.6,6.1,5.0,6.3,5.8,6.5,8.5,5.2,6.2
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,2.4,1.2,1.0,3.5,6.7,4.1,1.6,2.5,2.0,0.9
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,9.5,8.1,7.7,8.3,9.1,8.0,9.5,8.1,7.8,7.9
014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,9.0,7.2,9.0,8.6,9.2,7.6,9.3,8.4,8.7,9.0
015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,10.0,7.9,6.6,7.1,7.9,8.4,9.2,8.8,9.7,7.5
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,9.6,9.1,8.2,7.8,8.9,9.0,10.0,9.4,9.5,6.8
017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,8.7,9.0,9.6,9.0,8.4,9.5,8.7,9.4,8.7,9.8
017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,4.4,1.9,1.3,4.1,3.9,2.6,5.2,4.4,8.1,4.9
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,6.8,7.2,5.7,6.5,7.0,6.9,6.6,8.1,7.4,7.6
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,8.8,8.9,7.3,8.4,8.9,9.6,8.2,8.9,8.8,8.7
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,9.3,9.3,9.8,8.4,9.5,10.0,9.7,10.0,9.8,8.7
01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,4.7,7.6,6.5,6.4,8.1,6.8,8.5,6.5,6.4,6.2
01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,9.6,9.9,9.9,9.4,8.7,10.0,9.7,9.8,10.0,9.5
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,5.2,0.0,5.1,5.5,5.3,7.1,6.0,0.0,5.4,4.0
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,5.1,4.9,5.1,6.2,5.8,7.4,5.4,5.8,5.9,6.2
01C75C0AXPvAibaEXe/lR/YYAy+70aJGvl+xOHCU,7.7,8.6,9.1,9.0,8.5,9.0,7.6,7.0,9.2,8.1
02193C3DXPvAibaEXe+TNSfG6uJKIkeF2q+8Gwlb,10.0,9.8,9.9,9.4,9.7,9.5,9.5,9.6,9.5,9.6
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,8.1,8.5,6.6,6.1,7.6,8.5,6.2,9.0,8.9,5.8
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,8.4,8.7,6.6,7.3,7.5,5.3,7.4,7.9,5.0,8.1
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,8.7,8.2,9.0,8.7,8.3,8.7,7.7,6.5,7.5,5.7
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,6.0,5.3,5.5,6.5,5.2,5.1,5.0,5.3,3.0,5.0
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,6.6,6.3,5.6,6.0,6.3,6.7,7.0,6.2,7.4,6.3
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,6.5,6.9,5.5,2.3,5.5,5.2,5.2,6.5,4.9,3.7
0276C28DXPvAibaEXe92DIzGarcXxFtmAWFTKF/F,8.2,9.4,9.4,9.3,9.2,7.1,7.7,7.6,9.9,8.7
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,5.3,6.5,5.4,5.4,6.2,6.4,5.0,7.3,6.2,5.1
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,7.9,9.4,9.2,7.6,6.8,9.2,9.6,8.8,5.2,6.8
02A2AE13XPvAibaEXe8FNnc+c+WuJK7wR2tq8jV9,5.7,7.0,9.5,8.1,8.8,7.5,8.5,7.9,8.5,7.5
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,7.1,7.1,6.5,7.5,6.7,6.2,7.4,5.7,6.0,5.9
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW,5.6,7.0,4.1,5.8,5.0,5.1,7.7,6.6,6.7,7.3
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,8.8,10.0,9.3,8.8,9.2,9.9,9.7,9.1,10.0,8.8
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,8.7,6.4,8.0,7.6,8.0,7.3,7.0,6.0,7.9,7.1
030EC5D4XPvAibaEXe+6333OdPqlxr0zrQoKeC6U,7.3,8.1,7.7,7.8,9.2,6.9,8.1,7.1,8.9,8.4
